Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,95.316,95.60,92.008,93.054,9000,89.15
2016-01-01,98.12,98.12,98.12,98.12,000,94.004
2015-12-31,98.12,98.12,98.12,98.12,000,94.004
2015-12-30,98.25,98.32,97.84,98.12,600,94.004
2015-12-29,98.00,98.982,98.00,98.513,2300,94.38
2015-12-28,98.55,98.969,97.156,97.844,3800,93.739
2015-12-25,98.444,98.444,98.444,98.444,000,94.314
2015-12-24,98.444,98.444,98.444,98.444,000,94.314
2015-12-23,96.761,99.01,96.761,98.444,2500,94.314
2015-12-22,96.199,96.551,94.845,96.551,3100,92.501
2015-12-21,96.144,99.24,95.40,96.106,7000,92.074
2015-12-18,97.65,98.409,96.257,96.461,4100,92.414
2015-12-17,96.90,99.455,96.473,98.676,9000,94.536
2015-12-16,94.902,96.47,94.60,95.80,2600,91.781
2015-12-15,92.911,95.382,92.911,94.799,4200,90.822
2015-12-14,93.92,95.06,91.609,92.505,16600,88.624
